is_member,year,month,day,hour,recor_count
0,,07,Wednesday,14,6739
0,,07,Wednesday,15,7314
0,,07,Wednesday,16,8018
0,,07,Wednesday,17,9101
0,,07,Wednesday,18,8426
0,,07,Wednesday,19,7154
0,,07,Wednesday,20,6465
0,,07,Wednesday,21,6654
0,,07,Wednesday,22,5875
0,,07,Wednesday,23,4553
0,,08,Friday,00,3047
0,,08,Friday,01,2308
0,,08,Friday,02,1513
0,,08,Friday,03,1201
0,,08,Friday,04,445
0,,08,Friday,05,308
0,,08,Friday,06,467
0,,08,Friday,07,1184
0,,08,Friday,08,2786
0,,08,Friday,09,3486
0,,08,Friday,10,5172
0,,08,Friday,11,7434
0,,08,Friday,12,8887
0,,08,Friday,13,9419
0,,08,Friday,14,9375
0,,08,Friday,15,10305
0,,08,Friday,16,10712
0,,08,Friday,17,11087
0,,08,Friday,18,10258
0,,08,Friday,19,8985
0,,08,Friday,20,7258
0,,08,Friday,21,6042
0,,08,Friday,22,5922
0,,08,Friday,23,5741
0,,08,Monday,00,2537
0,,08,Monday,01,1682
0,,08,Monday,02,1090
0,,08,Monday,03,929
0,,08,Monday,04,432
0,,08,Monday,05,302
0,,08,Monday,06,485
0,,08,Monday,07,1223
0,,08,Monday,08,2850
0,,08,Monday,09,3563
0,,08,Monday,10,5376
0,,08,Monday,11,7579
0,,08,Monday,12,8486
0,,08,Monday,13,8842
0,,08,Monday,14,9351
0,,08,Monday,15,10212
0,,08,Monday,16,10284
0,,08,Monday,17,10514
0,,08,Monday,18,9028
0,,08,Monday,19,7361
0,,08,Monday,20,5684
0,,08,Monday,21,4514
0,,08,Monday,22,3732
0,,08,Monday,23,2812
0,,08,Saturday,00,4733
0,,08,Saturday,01,4165
0,,08,Saturday,02,3303
0,,08,Saturday,03,2910
0,,08,Saturday,04,983
0,,08,Saturday,05,468
0,,08,Saturday,06,411
0,,08,Saturday,07,744
0,,08,Saturday,08,1654
0,,08,Saturday,09,3730
0,,08,Saturday,10,7310
0,,08,Saturday,11,11093
0,,08,Saturday,12,13154
0,,08,Saturday,13,14580
0,,08,Saturday,14,16024
0,,08,Saturday,15,17424
0,,08,Saturday,16,17169
0,,08,Saturday,17,16128
0,,08,Saturday,18,13834
0,,08,Saturday,19,11908
0,,08,Saturday,20,9465
0,,08,Saturday,21,7506
0,,08,Saturday,22,7214
0,,08,Saturday,23,7187
0,,08,Sunday,00,5664
0,,08,Sunday,01,4536
0,,08,Sunday,02,3777
0,,08,Sunday,03,4118
0,,08,Sunday,04,1334
0,,08,Sunday,05,579
0,,08,Sunday,06,436
0,,08,Sunday,07,767
0,,08,Sunday,08,1779
0,,08,Sunday,09,4085
0,,08,Sunday,10,8187
0,,08,Sunday,11,11745
0,,08,Sunday,12,14291
0,,08,Sunday,13,16114
0,,08,Sunday,14,16831
0,,08,Sunday,15,17483
0,,08,Sunday,16,17001
0,,08,Sunday,17,15084
0,,08,Sunday,18,13202
0,,08,Sunday,19,10547
0,,08,Sunday,20,8347
0,,08,Sunday,21,6394
0,,08,Sunday,22,5457
0,,08,Sunday,23,4460
0,,08,Thursday,00,2171
0,,08,Thursday,01,1470
0,,08,Thursday,02,838
0,,08,Thursday,03,651
0,,08,Thursday,04,236
0,,08,Thursday,05,207
0,,08,Thursday,06,441
0,,08,Thursday,07,1239
0,,08,Thursday,08,2983
0,,08,Thursday,09,3624
0,,08,Thursday,10,5076
0,,08,Thursday,11,7338
0,,08,Thursday,12,7970
0,,08,Thursday,13,8278
0,,08,Thursday,14,8879
0,,08,Thursday,15,9341
0,,08,Thursday,16,10067
0,,08,Thursday,17,11448
0,,08,Thursday,18,10488
0,,08,Thursday,19,9030
0,,08,Thursday,20,7270
0,,08,Thursday,21,5925
0,,08,Thursday,22,5491
0,,08,Thursday,23,4601
0,,08,Tuesday,00,1842
0,,08,Tuesday,01,1089
0,,08,Tuesday,02,648
0,,08,Tuesday,03,523
0,,08,Tuesday,04,204
0,,08,Tuesday,05,209
0,,08,Tuesday,06,495
0,,08,Tuesday,07,1314
0,,08,Tuesday,08,2864
0,,08,Tuesday,09,3545
0,,08,Tuesday,10,4926
0,,08,Tuesday,11,6808
0,,08,Tuesday,12,7412
0,,08,Tuesday,13,7852
0,,08,Tuesday,14,8281
0,,08,Tuesday,15,8503
0,,08,Tuesday,16,8954
0,,08,Tuesday,17,9942
0,,08,Tuesday,18,8505
0,,08,Tuesday,19,6885
0,,08,Tuesday,20,5466
0,,08,Tuesday,21,4576
0,,08,Tuesday,22,3864
0,,08,Tuesday,23,2827
0,,08,Wednesday,00,1980
0,,08,Wednesday,01,1290
0,,08,Wednesday,02,874
0,,08,Wednesday,03,646
0,,08,Wednesday,04,255
0,,08,Wednesday,05,204
0,,08,Wednesday,06,468
0,,08,Wednesday,07,1297
0,,08,Wednesday,08,3210
0,,08,Wednesday,09,3703
0,,08,Wednesday,10,4860
0,,08,Wednesday,11,6443
0,,08,Wednesday,12,6770
0,,08,Wednesday,13,6954
0,,08,Wednesday,14,7700
0,,08,Wednesday,15,8153
0,,08,Wednesday,16,9130
0,,08,Wednesday,17,9695
0,,08,Wednesday,18,8915
0,,08,Wednesday,19,7070
0,,08,Wednesday,20,5314
0,,08,Wednesday,21,4853
0,,08,Wednesday,22,4084
0,,08,Wednesday,23,3136
0,,09,Friday,00,1933
0,,09,Friday,01,1570
0,,09,Friday,02,1015
0,,09,Friday,03,799
0,,09,Friday,04,254
0,,09,Friday,05,247
0,,09,Friday,06,353
0,,09,Friday,07,1286
0,,09,Friday,08,2685
0,,09,Friday,09,2834
0,,09,Friday,10,3799
0,,09,Friday,11,5685
0,,09,Friday,12,6273
0,,09,Friday,13,6738
0,,09,Friday,14,7645
0,,09,Friday,15,7597
0,,09,Friday,16,8770
0,,09,Friday,17,8921
0,,09,Friday,18,7692
0,,09,Friday,19,6272
0,,09,Friday,20,4740
0,,09,Friday,21,4343
0,,09,Friday,22,4246
0,,09,Friday,23,4156
0,,09,Monday,00,1388
0,,09,Monday,01,958
0,,09,Monday,02,661
0,,09,Monday,03,575
0,,09,Monday,04,260
0,,09,Monday,05,191
0,,09,Monday,06,322
0,,09,Monday,07,919
0,,09,Monday,08,2045
0,,09,Monday,09,2384
0,,09,Monday,10,3428
0,,09,Monday,11,4653
0,,09,Monday,12,5233
0,,09,Monday,13,5347
0,,09,Monday,14,5600
0,,09,Monday,15,6088
0,,09,Monday,16,6690
0,,09,Monday,17,6737
0,,09,Monday,18,5782
0,,09,Monday,19,4305
0,,09,Monday,20,3121
0,,09,Monday,21,2477
0,,09,Monday,22,1986
0,,09,Monday,23,1374
0,,09,Saturday,00,3883
0,,09,Saturday,01,3891
0,,09,Saturday,02,3073
0,,09,Saturday,03,2749
0,,09,Saturday,04,856
0,,09,Saturday,05,326
0,,09,Saturday,06,271
0,,09,Saturday,07,627
0,,09,Saturday,08,1408
0,,09,Saturday,09,2817
0,,09,Saturday,10,5238
0,,09,Saturday,11,7477
0,,09,Saturday,12,9561
0,,09,Saturday,13,10862
0,,09,Saturday,14,11745
0,,09,Saturday,15,12651
0,,09,Saturday,16,11819
0,,09,Saturday,17,10808
0,,09,Saturday,18,9711
0,,09,Saturday,19,7187
0,,09,Saturday,20,5102
0,,09,Saturday,21,4701
0,,09,Saturday,22,4553
0,,09,Saturday,23,4085
0,,09,Sunday,00,3543
0,,09,Sunday,01,3128
0,,09,Sunday,02,2781
0,,09,Sunday,03,2750
0,,09,Sunday,04,966
0,,09,Sunday,05,425
0,,09,Sunday,06,397
0,,09,Sunday,07,683
0,,09,Sunday,08,1605
0,,09,Sunday,09,3546
0,,09,Sunday,10,6287
0,,09,Sunday,11,8535
0,,09,Sunday,12,10358
0,,09,Sunday,13,11441
0,,09,Sunday,14,12754
0,,09,Sunday,15,13167
0,,09,Sunday,16,12425
0,,09,Sunday,17,10816
0,,09,Sunday,18,9102
0,,09,Sunday,19,6521
0,,09,Sunday,20,4480
0,,09,Sunday,21,3591
0,,09,Sunday,22,3136
0,,09,Sunday,23,2176
0,,09,Thursday,00,1308
0,,09,Thursday,01,807
0,,09,Thursday,02,511
0,,09,Thursday,03,365
0,,09,Thursday,04,148
0,,09,Thursday,05,156
0,,09,Thursday,06,367
0,,09,Thursday,07,1247
0,,09,Thursday,08,2646
0,,09,Thursday,09,2398
0,,09,Thursday,10,2647
0,,09,Thursday,11,3659
